Billing Tag,Client,Instance,Backupset,Subclient,Storage_Policy,Copy,FEB Size,FEA Size,Primary AppSize,Protected App Size,Media Size
Azure - PROD,CLPADSVSR013,Azure Resource Manager,defaultBackupSet,PRODUCAO-PROD,STP_AZU_PRD_CLPABKPSR005_VM,Primary,0.168,0.0,0.0,0.0,0.0
DCCM - OnPremisses,jbpasagsr002,DefaultInstanceName,defaultBackupSet,FS-jbpasagsr002,#STP_DATACENTER_FS_01,1.Primary,0.102,0.0,0.055,0.055,0.014
AWS - Glacier,jbpasagsr002,DefaultInstanceName,defaultBackupSet,FS-jbpasagsr002,#STP_DATACENTER_FS_01,2.AWS,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,jbpasagsr001,DefaultInstanceName,defaultBackupSet,FS-jbpasagsr001,#STP_DATACENTER_FS_01,1.Primary,0.082,0.0,0.008,0.008,0.002
AWS - Glacier,jbpasagsr001,DefaultInstanceName,defaultBackupSet,FS-jbpasagsr001,#STP_DATACENTER_FS_01,2.AWS,0.0,0.0,0.0,0.0,0.0
AWS - Glacier,JBPAINFCL053,DefaultInstanceName,defaultBackupSet,FS-DATABASES,#STP_DATACENTER_FS_01,2.AWS,0.0,0.0,0.0,0.0,0.0
Azure - DEV/QA,jbtaafisr003,Azure Resource Manager,defaultBackupSet,ACEITACAO-DEV,STP_AZU_DEV_CLPABKPSR004_VM,Primary,0.036,0.0,0.0,0.0,0.0
DCCM - OnPremisses,EGPARADSR010,VMware,ESTUDIOS GLOBO,CORP,#STP_DATACENTER_VM_01,Primary,0.038,0.0,0.009,0.009,0.001
DCCM - OnPremisses,PFWAPP0000232,Hyper-V,defaultBackupSet,VM-PVWAPP0000256-ADGSAT,#STP_DATACENTER_VM_01,Primary,0.013,0.0,0.0,0.0,0.0
DCCM - OnPremisses,PFWSRV0000425,Hyper-V,defaultBackupSet,VM-PVWAPP0000256-ADGSAT,#STP_DATACENTER_VM_01,Primary,0.035,0.0,0.0,0.0,0.0
DCCM - OnPremisses,PFWSRV0000011,Hyper-V,defaultBackupSet,VM-PVWAPP0000256-ADGSAT,#STP_DATACENTER_VM_01,Primary,0.221,0.0,0.0,0.0,0.0
AWS - Glacier,PFWSRV0000011,DefaultInstanceName,defaultBackupSet,FS-PFWSRV0000011,#STP_DATACENTER_FS_02,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,PFWSRV0000011,DefaultInstanceName,defaultBackupSet,FS-PFWSRV0000011,#_STP_GCP_FS_FILES_NL,Primary,0.0,0.0,0.031,0.031,0.011
AWS - Glacier,PFWSRV0000011,DefaultInstanceName,defaultBackupSet,AD-PFWSRV0000011,#STP_DATACENTER_FS_02,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,PFWSRV0000011,DefaultInstanceName,defaultBackupSet,AD-PFWSRV0000011,#_STP_GCP_FS_FILES_NL,Primary,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,PFWAPP0000231,Hyper-V,defaultBackupSet,VM-PVWAPP0000256-ADGSAT,#STP_DATACENTER_VM_01,Primary,0.044,0.0,0.0,0.0,0.0
DCCM - OnPremisses,PFWAPP0000230,Hyper-V,defaultBackupSet,VM-PVWAPP0000256-ADGSAT,#STP_DATACENTER_VM_01,Primary,0.054,0.0,0.0,0.0,0.0
DCCM - OnPremisses,PFWAPP0000234,Hyper-V,defaultBackupSet,VM-PVWAPP0000256-ADGSAT,#STP_DATACENTER_VM_01,Primary,0.04,0.0,0.0,0.0,0.0
